acid,SCN3,protein
PI378669A,S,43.5
PI398208,S,47.2
PI398334,S,44.5
PI398830,MS,46.2
PI398854,S,46.9
PI408036,S,44.9
PI408319C,S,43.5
PI417232,S,43.8
PI417238,S,45.2
PI417551,S,42.7
PI423728B,S,46.6
PI423765,S,44.6
PI423779,MS,47.1
PI423858,S,46.7
PI423987A,S,47.6
PI424227B,S,43
PI437310,MS,42.8
PI437316,MS,43.5
PI437334,S,45.1
PI437344C,MS,44.8
PI437351,S,41.7
PI437427B,S,45.4
PI437513,S,45
PI437644,S,43.4
PI438049,S,44.5
PI438131,MS,45.1
PI438178,MS,44.3
PI458051A,S,44
PI458052,S,43.3
PI468408B,S,41.6
PI567486A,S,45.3
PI567552,S,46.2
PI578370,,41.8
PI578422,,43.5
PI587984B,,46.8
PI593964,,40.7
PI597474,,40.5
PI603312,,40.4
PI603324A,,45.3
PI603348B,,40.1
PI603471,,45.1
PI153244,S,37.8
PI258383,S,41.7
PI291281,S,48.1
PI291324,S,45.5
PI297522,S,43.5
PI340015,S,46.8
PI361065B,S,45.2
PI361104,S,43.8
PI398297,S,45.6
PI407722,S,43.1
PI408263,S,45.8
PI408285B,S,44
PI408329,S,44.2
PI416746,S,43.8
PI417349,S,46.7
PI423770,S,41.4
PI424156A,S,43.8
PI424247A,S,47.6
PI424268,MS,44.7
PI424495,S,41.8
PI437317,S,44.8
PI437318,MS,46.5
PI437335,MS,42.3
PI437363A,MS,44.5
PI437540,S,41.3
PI437633D,S,46.7
PI437641A,S,44.2
PI438211B,S,42.6
PI438266A,MS,41.7
PI458098,S,44.3
PI458825A,S,42.3
PI467325,S,41.6
PI507072,S,43.2
PI567623,MS,44.9
PI578419B,,43.3
PI578494B,,43.9
PI597423,,41.6
PI597427B,,43.2
PI603167,,45.7
PI603913D,,44.6
PI189881,S,37.4
PI189967,S,37.2
PI290123B,S,42.1
PI291319A,S,43.8
PI297531,S,42.2
PI398472,S,46
PI407386B,S,43.1
PI407706B,S,42.9
PI408198,S,44.2
PI417557,S,44.3
PI424599,S,44.2
PI436611,MS,42.4
PI437225,S,44.6
PI437264,MS,40.7
PI437371,MS,45.1
PI437392,MS,45.8
PI437537,S,41.8
PI437632A,S,46.5
PI437773,S,44.1
PI437989,MS,43.9
PI438052,S,43.6
PI438185,S,43.6
PI438272,MS,40.6
PI464879,S,41.6
PI464941,S,41
PI507293B,S,40.9
PI567580A,MS,52.9
PI567603B,S,45.6
PI603150,,42.5
PI603302,,42
PI603303,,41
PI603698I,,40.1
PI603909C,,49.3
PI603913A,,43.5
PI154192,S,42.3
PI171429,S,42
PI258386,S,43.3
PI291327,MS,45.1
PI319534B,MS,43.3
PI361100,MS,43.3
PI378657,S,43.1
PI398318,S,43.6
PI398754,S,45.6
PI404188B,S,47.6
PI408233A,S,45.4
PI408265B,S,43.6
PI408302,S,45.4
PI415073A,S,43.7
PI417545,S,43.6
PI423797,S,48.2
PI423850,S,46.7
PI424285C,MS,46.8
PI424368B,S,48
PI424419,S,46.8
PI424462A,S,45.9
PI424523B,MS,44.8
PI436618,MS,41.1
PI437105A,S,45.6
PI437312,MS,44.3
PI437376B,MS,41.9
PI437616,S,45
PI437768,S,43.3
PI437777,S,41.5
PI437820,S,45.9
PI437859,MS,45.1
PI438238B,MS,44.5
PI438359,S,41
PI445796,S,44.4
PI458061B,S,43.1
PI503339A,S,42.9
PI506918,S,45.4
PI567215C,,41.7
PI567631,MS,47.1
PI597439,,37.2
PI603151A,,41.6
PI154189,S,41.6
PI157471,S,43
PI290122,S,42.5
PI297505,S,44
PI297544,S,47.3
PI340017,S,46.2
PI347539A,S,45.9
PI398243,S,47
PI398296,S,46.7
PI408271,S,43.9
PI417137,S,44.2
PI417199,S,45.7
PI417526,S,44.4
PI423808A,S,45.1
PI424246,S,42.8
PI437105B,S,45.9
PI437126A,MS,44.1
PI437138,S,40.6
PI437163,MS,44.4
PI437168C,S,46.2
PI437360,MS,44.9
PI437565,MS,44.3
PI437584,S,43.3
PI437598B,S,43.7
PI437697,S,42
PI437890A,S,46
PI458037,S,44.2
PI458082,S,45
PI507082C,S,41.7
PI567607B,S,45.3
PI593955,,41.2
PI593969,,41.8
PI603614A,,41.5
PI603730C,,44.5
PI603911C,,38.9
PI243530,S,40.8
PI398188,S,47.1
PI398788,S,45.3
PI398838,S,43.8
PI408055C,S,43.6
PI408189,S,44.1
PI416756,S,45
PI417556,S,42.1
PI423803,S,43.3
PI424228,S,46.6
PI424565,MS,45
PI437180,S,44.1
PI437433,MS,42.7
PI438042,S,43.8
PI438164B,MS,40.8
PI438435B,MS,44.6
PI506779,S,41
PI561305,,42.4
PI567214B,,40.5
PI567323C,MS,44.7
PI567496,S,44.8
PI567511,S,42.1
PI593968,,45.1
PI597434,,41.8
PI602502A,,47.2
PI603361,,41.1
PI153234,S,47
PI227327,S,42.5
PI257432,S,40.7
PI283332,S,43.8
PI370055,S,46.2
PI408225B,S,46.5
PI408262B,S,47.3
PI408306,S,45.8
PI416772,S,48.2
PI417100,MS,46.7
PI417179B,S,45.1
PI417295,S,46.3
PI423728A,S,47
PI423739,S,43.8
PI423865,S,45.6
PI437142,S,47.5
PI437187,MS,46.3
PI437308,S,45
PI437340A,S,45.8
PI437373,MS,46
PI437554,S,42.7
PI438198,S,42.8
PI438201,MS,47.2
PI445812,MS,43.3
PI452432,S,40.8
PI458055,S,45.2
PI458307A,S,42.3
PI458541,S,41.1
PI467324,S,42.2
PI561292B,,48.1
PI587982A,,41.4
PI593956A,,38
PI153259,MS,41.9
PI257433,S,40.6
PI258385,,40.2
PI358323,S,38.4
PI378669D,S,45.5
PI398741,S,44.9
PI398916,S,45
PI407655C,S,45.8
PI407907A,S,46
PI408222A,S,46.3
PI417278,MS,45.8
PI423756B,S,43.8
PI424357B,S,45.8
PI424382,S,45.6
PI424484A,S,44.8
PI424500,S,45.5
PI437132A,S,41.4
PI437339A,S,44
PI437546,S,41.4
PI437621A,S,45.7
PI437657,S,45.9
PI438267,MS,41.6
PI449458A,S,42.1
PI458074B,S,42.5
PI458121,MS,44.5
PI464940,S,41.4
PI567174C,,47.8
PI567200A,,43.6
PI567323B,MS,46.7
PI567504,S,45.7
PI567777,,45
PI592923,,39.7
PI594245A,,42
PI597411B,,42.9
PI603314,,40.9
PI603326,,41
PI167240,S,40.9
PI297540,S,41
PI358321C,MS,43.8
PI398360,S,44.9
PI398891,,45.6
PI398940,S,44.9
PI407922,S,48
PI408217A,S,47.3
PI408221B,S,44.9
PI408262D,S,45.6
PI408270B,S,44.3
PI408310A,S,46.3
PI417178,S,45.2
PI417522,S,45.8
PI423746,S,43.8
PI423839,S,43.6
PI424168B,S,45.1
PI424282,S,44.9
PI437327,S,43.3
PI437426,MS,45.8
PI437512,S,44
PI438040,S,44.8
PI438133B,MS,44.7
PI438367,S,43
PI438369A,MS,39.8
PI438421,S,43.5
PI458194,MS,44.3
PI567173,,42.7
PI592901,,41.3
PI594233A,,43.3
PI603344,,39.6
PI603385,,40.4
PI603432A,,42.7
PI603492,,44.9
PI603684,,43.4
PI603707,,43.7
PI603747,,39.5
PI153238,S,38.8
PI189945,S,39.5
PI205088,MS,43
PI248512,S,40.1
PI290134,S,43.8
PI295951,S,44.1
PI297549,S,41.5
PI398490,MS,46.4
PI398747,S,45.3
PI398823,S,46.7
PI404192C,,44.7
PI407966A,S,45
PI408100B,S,46.5
PI408175,S,44.8
PI408209C,S,43.1
PI423813,S,42.9
PI424234C,S,46.4
PI424462C,MS,45.4
PI424528,S,45.6
PI437333,S,46.3
PI437394,S,46.4
PI437397,S,44.6
PI437420B,MS,47.1
PI437620,S,45.6
PI437700,S,43.2
PI438078,S,46.5
PI438162,S,40.4
PI438364,S,41.3
PI464880,S,40.8
PI490766,S,41.5
PI507682,S,43.2
PI507707,S,44.6
PI561377,,41.9
PI567375A,S,46.4
PI567473A,S,44.5
PI587976B,,42.7
PI592935,,41.7
PI603294,,43.4
PI603394,,41.5
PI603426D,,38.7
PI104708,S,42.8
PI189931,MS,39.3
PI200596,S,41.5
PI227323,MS,45.8
PI227334,MS,37.9
PI238922,S,40.6
PI273483C,S,47.1
PI361065A,S,42.2
PI378662,S,40.8
PI378664C,S,47.1
PI378680D,S,46
PI398342,S,43.3
PI398774,S,46.7
PI404155A,MS,44.1
PI408181D,S,44.3
PI408290,S,45.4
PI423790,S,44.6
PI423944,S,45.2
PI424254,S,42.5
PI424270B,S,43.3
PI424278A,S,43.9
PI424285B,MS,45.8
PI424412,S,44.1
PI424544,MS,44.2
PI424597,S,46.8
PI437099,S,46.4
PI437146,S,46.2
PI437326,MS,45.5
PI437338,S,44.8
PI437383,S,45.6
PI437395A,MS,45.4
PI437510,S,43.1
PI437581,S,43.1
PI437589,S,43.2
PI437627,S,45.7
PI438019B,MS,45.7
PI438216,MS,45.1
PI438357A,S,44.5
PI438434,S,42.9
PI458095,S,43.9
PI467320,MS,41.4
PI467347,S,41.3
PI507296,S,41.8
PI567223,,46.3
PI567538B,S,50.6
PI567573A,S,46.1
PI578433,,40.9
PI587989A,,
PI597420,,40.3
PI603293B,,41.5
PI603357,,39.8
PI603405A,,45.2
PI603409,,45.6
PI603457A,,46.4
PI603757C,,44.6
PI154194,S,41
PI171454,S,42.2
PI257428,S,40.8
PI297541,S,46.1
PI303650,S,41.5
PI398258,S,46.8
PI398271,S,44.8
PI416837,S,45.4
PI417019,S,45
PI417507,S,43.8
PI423819,MS,43.5
PI424256,MS,43.8
PI424323,MS,43.4
PI436683,MS,40.9
PI437148,S,44
PI437272,S,42.8
PI437370,MS,45.8
PI437464,S,44.7
PI437519,S,43.2
PI437564,S,44.1
PI438160A,S,44.9
PI438230A,S,43.5
PI445823,MS,43.8
PI458067A,S,43.1
PI458825B,S,40.6
PI567500,S,45.6
PI567585B,S,46.4
PI587980B,,45.8
PI587983A,,43.2
PI603383,,41.7
PI603418B,,44.1
PI603465C,,42.9
PI603664,,42.6
PI153236,S,39
PI153247,S,39.5
PI153250,S,37.7
PI157472,S,44.5
PI161989,S,40.9
PI181538,S,39
PI189930,MS,39
PI358317A,S,41.5
PI361059B,S,41.8
PI384468,S,45.5
PI398206,S,43.7
PI398256,S,45.5
PI398282,MS,43.9
PI398858,S,46.2
PI398899,MS,46.4
PI404161,S,44.4
PI408231,MS,46.7
PI408262C,S,43.7
PI408307A,S,47.1
PI416845,S,43.3
PI417574,S,46
PI423750,S,43
PI423756A,S,45.2
PI423902,S,40.9
PI424220A,S,44.6
PI424243,S,44.5
PI424481A,S,45.4
PI424487A,S,46
PI424555B,S,45.6
PI424570,MS,43.7
PI424571,S,44.8
PI437137,MS,40.3
PI437156B,S,43.1
PI437328,S,46.3
PI437432B,MS,46.1
PI437610A,S,46.5
PI437649A,S,42.3
PI437707,S,42.4
PI438056,S,45.3
PI438157,S,42.2
PI438179,MS,41.6
PI438492,MS,42.9
PI445828,S,44
PI458070A,S,43.8
PI495017A,S,42.6
PI506699,S,43.2
PI507687A,S,42.8
PI507696A,S,44.5
PI567417C,S,46.9
PI578399,,40.7
PI593944,,41.5
PI594010,,47.8
PI597391C,,42.8
PI597403A,,41.5
PI603439,,38.8
PI603440C,,
PI153249,MS,41.6
PI154200,S,47
PI157487B,MS,44.9
PI189926,S,42.7
PI291325,S,42.8
PI319536D,S,42.4
PI372404A,S,42.2
PI384469B,S,43.7
PI398322,S,47.4
PI398396,MS,46.3
PI398717,,43.6
PI398755,S,45.7
PI404158,MS,46.5
PI407976B,S,44.6
PI408224A,S,48.3
PI408299,S,45.7
PI416950,S,44.4
PI417177,S,44.1
PI417546,S,43.3
PI424332,MS,42.9
PI424381,S,45.7
PI424428,S,42.4
PI437130,MS,40.6
PI437141,MS,42.5
PI437389C,MS,44
PI437463B,S,46.4
PI437545,S,43.6
PI437646B,S,43.9
PI437861,S,43.8
PI438051B,S,46.1
PI438069B,S,46
PI438276,MS,44.2
PI438373,S,41.9
PI445824A,S,40.3
PI464915B,,40.9
PI507038,S,43.3
PI507297,S,40.2
PI567535B,S,45.8
PI567536,MS,47.9
PI567778,,46.2
PI587606A,,43.7
PI587998A,,46.1
PI592967,,37.7
PI597480B,,44.7
PI603339A,,47.7
PI603406,,47.2
PI153246,S,42.9
PI157408,S,42.8
PI180521,S,44.7
PI253665A,S,39.9
PI257439,S,38.5
PI290153,S,42
PI360954,S,40.3
PI398274,S,45.8
PI398278,S,45.8
PI407966B,S,44.6
PI407972A,S,44.8
PI408234A,S,47.1
PI416919,S,47.1
PI423863B,S,46
PI424250B,S,42.5
PI424470,S,45.3
PI424512,S,46.1
PI424518,S,45.4
PI424568,S,45
PI437078B,S,41.7
PI437121A,S,43
PI437134,S,40.9
PI437306A,S,42.7
PI437339C,S,46.4
PI437630B,MS,44.4
PI437729,S,41.3
PI437995B,MS,46.2
PI438221,S,42.8
PI442030,S,41.4
PI458043,S,43.7
PI458090A,S,43.4
PI464914B,S,42.6
PI507696B,S,48.2
PI561318B,,41.1
PI567156A,,42
PI578379,,40.9
PI594261,,44.2
PI603348C,,40.3
PI603468,,47.5
PI103080,S,43.1
PI157402,S,44.6
PI157483,MS,43.1
PI189968,S,40.3
PI243546,S,43.1
PI291302C,S,46.8
PI297507B,S,40.8
PI297535,S,41.6
PI360955A,S,43.5
PI361062A,S,42.1
PI399046,MS,43.4
PI407709,,42.4
PI407725A,S,43.8
PI407928,S,45.1
PI407992,S,44.2
PI408228B,S,45.1
PI408319A,S,44.5
PI423882A,S,42.9
PI424338,,44
PI424519,S,45.7
PI437462D,S,44.9
PI437714,MS,41.2
PI438379,MS,41.8
PI458039,S,44.9
PI458216,MS,44
PI464931,S,42.2
PI467309,S,42.1
PI467316,S,42.9
PI479738,S,43.8
PI479743,S,42.4
PI507145,S,42
PI561313,,46.4
PI587982B,,45.6
PI592928,,43.4
PI592960,,38.5
PI593950A,,41.8
PI594160,,43.3
PI597405A,,42.1
PI597447,,40.9
PI603330,,42
PI603433A,,44.2
PI603571A,,43
PI157454,S,41.3
PI189924,S,38
PI189952,S,40.6
PI291310A,S,45.4
PI297510,S,45
PI297525,S,43.2
PI361060,S,41.1
PI361119,S,40.7
PI408212A,S,45.4
PI423735,S,44.7
PI423827A,S,43.4
PI424207,S,41.8
PI424255C,MS,44.9
PI424262,S,43.6
PI424385,S,45.2
PI424494,S,43.1
PI424607,MS,45.1
PI437320,S,43.8
PI437339B,S,47.3
PI437506,S,45.2
PI437675,S,40.7
PI437860B,S,44.6
PI438027B,S,45.6
PI438166B,S,43.6
PI438392,S,41
PI445835,S,40.5
PI458123A,MS,41.2
PI458132,S,44.3
PI458190,S,46.3
PI458828,S,40
PI506709,S,42.9
PI509089,S,49.1
PI561319A,,44.3
PI561321,,42.5
PI567462,MS,46.7
PI567475,S,44.6
PI587977,,45.5
PI594853,,49.2
PI603418C,,42.2
PI103419B,S,41.7
PI154193,S,43.2
PI189961,S,37.9
PI266807C,MS,39.8
PI297507A,S,41.5
PI297534,S,40.8
PI361070,S,39
PI378680A,S,42.8
PI384473,S,45.4
PI407939A,,45.3
PI407939B,S,43.6
PI408248B,S,44.3
PI416841,S,45
PI417094,,43.9
PI424162,S,43.2
PI424548,S,46.7
PI437080,MS,45.3
PI437189A,MS,41
PI437189B,S,46.5
PI437325,MS,44.6
PI437337,MS,45.2
PI437363B,S,46.4
PI437550C,S,45.3
PI437553,S,44.2
PI438020,S,43.5
PI458045A,S,44.5
PI458067B,S,44.2
PI464914A,S,40.8
PI468408C,S,39.8
PI504483B,S,40.7
PI532463A,S,44
PI567224D,,43.4
PI567771C,,46.1
PI592919,,41.6
PI594467,,44.1
PI597403B,,41.2
PI603378A,,40.2
PI603437B,,40.9
PI253653B,S,42.1
PI290127,S,45.9
PI291321,S,42.5
PI297509,S,40.7
PI297550,S,38.6
PI319534A,S,43.8
PI358322,,43
PI398321,MS,46.1
PI398470,S,46.7
PI398761,S,43.8
PI404173A,S,46.2
PI407904,S,44.5
PI407907B,S,46.6
PI408111,S,46
PI408116,S,44.9
PI408216B,S,45
PI408298B,S,43.1
PI417544A,S,41.6
PI423771,S,46.9
PI424189,S,46.1
PI424255B,S,45.3
PI424284A,MS,47.2
PI424516,S,46.1
PI427106,S,44.2
PI437120,S,44.3
PI437285,S,40.2
PI437380,S,44.8
PI437498,S,43.8
PI437598A,S,43.1
PI437599,MS,43.7
PI437606,S,46.5
PI437857A,S,43.6
PI438163,S,42.2
PI438226,MS,47.1
PI438301,MS,45.1
PI438334A,S,42.8
PI445836,S,39.3
PI458204,MS,43.5
PI467335B,S,42.1
PI561292A,,45.5
PI561314B,,45.7
PI578440,,42.4
PI592907D,,39.8
PI592951,,44.3
PI593971,,39.4
PI603299,,41.9
PI603306,,42.2
PI603424A,,41.9
PI103415,MS,44
PI180516,S,41.1
PI227321,S,40.8
PI290156,S,43.7
PI291300,S,44
PI370057B,S,43.1
PI372421B,S,42.8
PI398251,S,45.9
PI398738,S,44.1
PI398847,S,45.2
PI404178,MS,45.5
PI407659A,MS,44.4
PI407988A,S,44.8
PI408131B,S,45.3
PI408136,S,45.2
PI408221A,S,46
PI408226A,S,45.7
PI408309,S,42.5
PI416879,S,43.6
PI423747B,S,43.4
PI424481B,S,45.7
PI424584,S,43.5
PI437442,S,43.8
PI437640B,S,42.2
PI437808,S,42
PI438224,S,44.1
PI438233A,MS,44.1
PI438242,S,43.1
PI438258,S,41.7
PI458226,MS,48
PI458529,S,41.3
PI506917,S,45.5
PI561371,,46.6
PI567157A,,42.7
PI567198,,46.1
PI567199,,46.3
PI567418A,S,48.3
PI567473B,MS,43.2
PI567556,S,47.3
PI578481,,41.3
PI587985A,,47
PI592930,,41.4
PI593950B,,41.5
PI597397A,,37.4
PI603301A,,42.3
PI603321,,43.4
PI603465A,,
PI189883,S,41.1
PI189906,S,45.6
PI258384,MS,43.1
PI290143,S,45.2
PI358315A,MS,44.7
PI361053,MS,46.8
PI361063,MS,43.1
PI361068,S,39.7
PI378674B,S,41.6
PI407719,S,47
PI407898A,S,47.8
PI407976A,S,43.8
PI417525,S,45.6
PI423730B,S,43.2
PI424211,S,42.1
PI424505,S,45.1
PI424511,S,45.6
PI424520,S,44.6
PI424543,S,44.9
PI424554,S,42
PI427137,MS,42.6
PI437336B,S,44.8
PI437508A,MS,43.7
PI437520A,S,44.2
PI437600,S,44.3
PI437618,S,43.9
PI458020,S,44
PI458307B,S,42.8
PI458826A,S,42.2
PI506727,S,40.9
PI561295,,45.7
PI567201C,,45
PI567598A,S,43.3
PI587716B,,50.2
PI587989B,,42.1
PI594457B,,48.1
PI603159,,45.3
PI605817A,,44.9
PI290124,S,43
PI291320B,S,39.6
PI297524,S,42.3
PI340053B,MS,43.8
PI347544A,,45.6
PI398197,S,46.1
PI398211,S,43.8
PI398464,MS,43.7
PI398744,S,45.8
PI398768,MS,43.8
PI404152,MS,45.8
PI404176,MS,45.9
PI407913A,S,45.3
PI407979,S,41.9
PI408058,S,45.5
PI408119,S,44.4
PI408233B,S,44.2
PI416753,S,44.3
PI417078,S,44.6
PI417229,S,47.4
PI417519A,S,41.7
PI423730A,S,45.5
PI423752A,S,44.9
PI424220B,S,44
PI424359,S,44
PI424402A,S,45.1
PI437122,S,42
PI437157,S,43.5
PI437198,MS,43.1
PI437611B,S,45.6
PI437626,S,43.7
PI437753B,S,43.6
PI438053,S,44.5
PI442032,S,42.1
PI458065A,S,45.4
PI468382,S,45.9
PI507160,S,47.2
PI567609,S,47
PI578363,,48
PI587999A,,42.3
PI588050A,,42.8
PI594463A,,41.5
PI603297,,43.1
PI603381C,,39.8
PI603682,,40.5
PI603698J,,45.8
PI603912,,48
PI103088,MS,45.3
PI219784,S,42.6
PI232902,S,41.4
PI291282,S,46.3
PI319538,S,41.8
PI372414,S,45
PI398182,S,46
PI398201,S,46.3
PI398267,S,43.6
PI404157,MS,43.4
PI407958,S,46
PI408224B,S,44.8
PI408230,S,45.6
PI408249,S,40.9
PI408260C,S,43.6
PI417248,S,46.5
PI417485,S,41.4
PI417547,MS,38.5
PI424303,S,44.3
PI424386B,S,45.9
PI424424,S,46.7
PI424579,S,40.8
PI424604,MS,47.2
PI427107C,S,43.6
PI437324,MS,44.5
PI437408B,MS,44.3
PI437635A,S,47
PI438189,S,45.1
PI438377,MS,42.5
PI458505,S,43.2
PI511868,S,42.5
PI561296A,,43.4
PI578432B,,41.8
PI587998D,,44.2
PI594254,,41.3
PI603502D,,46.6
PI257430,S,41.4
PI398245,S,43.7
PI398743,MS,43.7
PI408066A,S,45.4
PI408269D,S,45.1
PI417249,S,47.2
PI423713,S,38.9
PI423719,S,45.5
PI423748B,S,46.3
PI424466,S,42.4
PI424532,S,44.1
PI424537,S,46.7
PI427107A,S,44
PI437458B,S,45.8
PI437695B,S,43.4
PI437766,MS,45
PI437774A,S,43.5
PI438132,MS,42.5
PI438154,S,42.8
PI438191,MS,40.4
PI438204,S,43.8
PI438360B,MS,41.1
PI438417,S,40.7
PI438444,MS,40.9
PI442004,S,41.8
PI506700,S,42.3
PI506982,S,42.1
PI588027A,,45.3
PI592920,,43
PI592971,,39.9
PI594401A,,44.3
PI603428B,,45.4
PI603432C,,41.3
PI603502B,,47.5
PI605750,,
PI153240,S,39.5
PI157459,S,42.7
PI189922,MS,39.2
PI194645,S,44.1
PI196167,S,42.6
PI248397,S,37.5
PI273483B,MS,45
PI340040,S,44.5
PI398431,S,46
PI398757,S,48.4
PI398873,MS,44.7
PI404162,S,41.1
PI407947,S,46.4
PI407972C,S,42.3
PI408203A,S,42.9
PI408272B,S,46.8
PI423747A,S,42.6
PI423769B,S,45
PI423937,S,46.9
PI424167,S,44.6
PI424244,S,42.7
PI424249A,S,46.7
PI424344,S,44
PI424524,S,45.4
PI424556,S,45.9
PI427107B,S,43.8
PI437650A,S,42.6
PI437652,S,44.5
PI437769,S,45.2
PI437995A,S,41.3
PI438050B,S,45.4
PI438145,S,43.6
PI438147,S,42.2
PI438160C,S,43.8
PI438184,MS,42
PI438412,MS,41.2
PI458177,S,44.5
PI458195,MS,47.2
PI467327,MS,42.5
PI567165,MS,42.6
PI567640,S,44.9
PI578372,,41.4
PI578389,,42.5
PI578393,,41.9
PI587637,,43.4
PI587998E,,45.5
PI594295,,43.2
PI594471C,,45.9
PI603346B,,43.7
PI603418A,,41.8
PI603623,,49.2
PI603680,,
PI154197,S,47.8
PI189960,S,40.9
PI358315C,S,44.4
PI372403A,S,41.3
PI372416B,MS,44.1
PI378672,MS,46.5
PI398803,S,43.3
PI407902A,S,45.1
PI407914D,S,43.1
PI407972B,S,42.1
PI408131A,S,45.6
PI408316,S,42.9
PI423838,S,45.8
PI424225,S,45.2
PI424310,S,43.1
PI424326,MS,45.6
PI424402B,S,45.9
PI427138,MS,48
PI437139,S,42.2
PI437190,MS,43.4
PI437294A,MS,42.8
PI437387,MS,46.4
PI437393,S,44
PI437421,S,45
PI437539,S,41.1
PI437573A,S,45.2
PI437605B,S,43.2
PI437628,S,42.4
PI438069C,S,43.4
PI438127,MS,42.6
PI438339A,S,42.9
PI438387,S,45.4
PI449460B,S,44.2
PI458060A,S,43.2
PI458065B,S,43.6
PI458175C,S,44.3
PI464882,S,42.1
PI464924,S,40.9
PI507100,S,43.7
PI561315,,41.9
PI567156B,,42.6
PI597485,,45.7
PI603348A,,40.3
PI603374,,42.9
PI603433B,,40.3
PI603457B,,42.8
PI153233,S,40.4
PI153242,S,36.6
PI153261,S,41.6
PI161988,S,40
PI189965,S,42.5
PI290129B,S,42
PI290136,S,43.4
PI372424,S,41.9
PI378671,S,44.8
PI378675A,S,41.5
PI398227,S,44.6
PI398248,MS,45
PI407932B,S,46.8
PI408307C,S,44.5
PI416988,S,44.3
PI417533,S,41.8
PI417560,S,42.3
PI423712,S,40
PI423753B,S,43.3
PI424173,S,44.5
PI424217A,S,45.6
PI437145A,MS,46.4
PI437402,S,46
PI437412,S,46.6
PI437779,S,44.9
PI437839B,S,46.1
PI437996B,MS,44.6
PI438054,MS,44.3
PI458031,S,43.1
PI458113,S,41.2
PI458120,MS,42.8
PI468383,S,41.4
PI483082B,S,42.1
PI561297,,43.7
PI567612,S,46.4
PI578388B,,45.6
PI592963,,39.3
PI603370,,40.2
PI603478,,47.7
PI319537B,S,42.6
PI358317B,MS,44.5
PI360845,S,42.7
PI378668,S,42.9
PI398385,S,43.4
PI398751,MS,45.5
PI398901,S,45.6
PI398995,MS,48.4
PI404179B,S,45.7
PI407873,S,43.4
PI423710,S,43.2
PI424168A,MS,45.4
PI424249B,S,45.1
PI424273B,S,45.7
PI424311,MS,44.4
PI424347A,S,46.4
PI424348B,,44.5
PI424427,S,42.1
PI424503,S,44.2
PI437182,MS,42.2
PI437542,S,42.3
PI437585,S,43.1
PI437608,S,44.8
PI437765,S,44
PI437785,S,41.9
PI437899,S,46.9
PI438326,MS,40.6
PI458064,S,43.3
PI458302,S,45.6
PI458511,S,39.9
PI506480,S,42.3
PI561285B,,42.4
PI567244,,49.1
PI588033B,,41.9
PI603170,,49.6
PI603171,,47.9
PI603698D,,46.8
PI153270,S,40.8
PI153275,S,41.3
PI291313,S,41.1
PI297548,,43.1
PI358314,S,45.1
PI378677A,S,41.7
PI398311,S,44.3
PI398588,MS,45.9
PI398764,S,46.4
PI408021,S,45.6
PI408057,S,46.9
PI408187,S,44.3
PI408222C,S,44.4
PI408291,MS,45.7
PI408319B,S,43.9
PI423717,S,43.4
PI423757,S,45.5
PI423939,MS,43.6
PI424230,S,45.5
PI424277A,S,44.7
PI424297,MS,45.5
PI424315,S,42.9
PI424348C,S,42.5
PI424472A,S,42.8
PI437301,S,41.6
PI437344B,S,43.8
PI437428B,MS,43.8
PI437504,S,46.3
PI437642,S,43
PI437851B,S,45.8
PI445834,MS,42.4
PI467314,S,43.5
PI506868,S,40.6
PI567226,,44.7
PI574476A,,44
PI578482A,,53.4
PI587636,,45.7
PI592932,,42.1
PI603410,,47.9
PI603426B,,41.7
PI603470,,42
PI603914,,44
PI158765,S,43.2
PI189913,S,40.8
PI200533,MS,41.4
PI290155,MS,44.3
PI319528,S,42.1
PI319536C,S,41.5
PI340038,S,42.2
PI360836,S,42.5
PI372417,S,43.8
PI398537,MS,45.1
PI398766,MS,46.2
PI398880,S,42.9
PI408018,S,45.3
PI408301,S,45.8
PI408318A,S,46.4
PI416986,S,48.8
PI417171,S,43.5
PI423763,S,44.1
PI424374,S,45.1
PI437246B,MS,40.3
PI437359,MS,41.9
PI437532,S,42.2
PI437634,S,43.2
PI437643A,MS,44.8
PI437809,S,42.8
PI437812,S,41.8
PI438181A,S,45.5
PI438200,S,42.8
PI438385,S,42.6
PI458041,S,44.4
PI458053A,S,42.6
PI467312,,43.4
PI506762B,S,41.7
PI522192B,,42.5
PI561369,,42.8
PI567417A,S,44.4
PI567443,S,43.8
PI567775B,,44.1
PI592933,,41.3
PI592962B,,40.7
PI594164,,41.4
PI594412,,42.1
PI597440B,,40.3
PI603292,,
PI603668B,,
PI603718A,,47.9
PI603909B,,44.8
PI171450,S,46.3
PI196151,S,38
PI232995,S,42.1
PI274420,S,42.1
PI378667,S,43
PI398190,S,45.6
PI398404,S,44.4
PI398696,S,46.6
PI398905,S,45.8
PI408020D,S,46
PI408186B,S,44.8
PI416784,S,43.2
PI416839,S,45.3
PI416940,MS,45
PI417086B,S,41
PI417381,S,43.5
PI419043,S,42
PI424236,S,41.9
PI424555A,S,44.2
PI437145B,MS,47.2
PI437258,S,40.3
PI437625,S,44.2
PI437699,S,41.4
PI437775,S,42.8
PI437852,S,44.1
PI438175,S,41.9
PI438239A,S,43.5
PI438317,MS,46.9
PI438358A,MS,42.8
PI458023,S,45.4
PI458050,S,42.2
PI458286,S,42.9
PI464875A,S,38.5
PI490768,S,43.3
PI506937,S,40.5
